Service,Role/Resource,Action(s),Purpose,Attached Policy / Notes
AWS KMS,modules/security KMS key,CreateGrant;DescribeKey;Encrypt;Decrypt,Encrypt security logs and SNS topics,"Managed via security module; alias `${project_name}-security`; 30-day deletion window"
AWS KMS,modules/vpc flow logs KMS key,Encrypt;Decrypt,Enable VPC flow log bucket SSE-KMS,"Key created per VPC module; 30-day deletion window"
AWS KMS,modules/database RDS KMS key,Encrypt;Decrypt,Protect RDS storage and Performance Insights,"Key alias `${project_name}-rds`; 30-day deletion window; enables key rotation"
AWS KMS,Terraform state KMS key,Encrypt;Decrypt,Encrypt Terraform remote state in S3,"Pre-requisite: alias `terraform-state-key` must exist before terraform init; 30-day deletion window recommended"
AWS Backup,Backup service role,backup:StartBackupJob;backup:StartRestoreJob;backup:TagResource,Execute automated backups (daily 05:00 + weekly 06:00),"AWSBackupServiceRolePolicyForBackup attached; vault encrypted with security KMS key"
AWS Backup,Backup vault,N/A,Store RDS and EC2 backups,"Daily: 30d retention + 90d copy; Weekly: 365d with cold storage after 30d"
AWS Backup,Tenant Lambda,backup:TagResource,Tag S3 buckets for backup plan selection,"Resource ARN `arn:aws:backup:region:acct:backup-vault:${backup_vault_name}`"
AWS Lambda,Tenant provisioner role,sts:AssumeRole,Allow Lambda execution,"Trusts lambda.amazonaws.com; least-privilege inline policy"
AWS Lambda,Tenant provisioner role,s3:CreateBucket;s3:PutBucketVersioning;s3:PutBucketPublicAccessBlock;s3:PutBucketTagging;s3:PutBucketPolicy;s3:PutBucketEncryption;s3:GetBucketLocation,Provision tenant buckets with security hardening,"Resource scoped to `arn:aws:s3:::${project_name}-tenant-*`"
AWS Lambda,Tenant provisioner role,kms:CreateGrant;kms:DescribeKey,Encrypt tenant buckets,"Scoped to backup KMS key ARN"
AWS Lambda,Tenant provisioner role,cloudwatch:PutMetricData,Emit provisioning metrics,"Namespace `${project_name}/TenantProvisioning`; conditional on namespace"
AWS Lambda,Tenant provisioner role,logs:CreateLogGroup;logs:CreateLogStream;logs:PutLogEvents,Ship Lambda logs with 90-day retention,"Log group `/aws/lambda/${project_name}-${environment}-tenant-provisioner` with KMS encryption"
Amazon EC2,Application instance role,s3:GetObject;s3:ListBucket,Fetch artifacts from deploy bucket,"Custom IAM policy `${project_name}-${environment}-ec2-policy`"
Amazon EC2,Application instance role,logs:CreateLogGroup;logs:CreateLogStream;logs:PutLogEvents,Write application logs to CloudWatch,"Scoped to `arn:aws:logs:region:*:log-group:/${project_name}/*`; 90-day retention"
